UNITID,university_name,website,rank,query,title,url,domain,domain_restricted,text_len
166027,Harvard University,www.harvard.edu/,1,site:harvard.edu Harvard University generative AI policy,Generative AI Guidelines | Harvard University Information Technology,https://www.huit.harvard.edu/ai/guidelines,harvard.edu,True,4359
166027,Harvard University,www.harvard.edu/,2,site:harvard.edu Harvard University generative AI policy,HGSE AI Policy,https://registrar.gse.harvard.edu/AI-policy,harvard.edu,True,6614
166027,Harvard University,www.harvard.edu/,3,site:harvard.edu Harvard University generative AI policy,Guidelines for Using ChatGPT and other Generative AI tools at ...,https://provost.harvard.edu/guidelines-using-chatgpt-and-other-generative-ai-tools-harvard,harvard.edu,True,3499
166027,Harvard University,www.harvard.edu/,4,site:harvard.edu Harvard University generative AI policy,Responsible use of generative AI,https://it.hms.harvard.edu/about/policies/responsible-use-generative-ai,harvard.edu,True,4810
166027,Harvard University,www.harvard.edu/,5,site:harvard.edu Harvard University generative AI policy,Generative AI Guidance - Office of Undergraduate Education,https://oue.fas.harvard.edu/faculty-resources/generative-ai-guidance/,harvard.edu,True,10318
166027,Harvard University,www.harvard.edu/,6,site:harvard.edu Harvard University generative AI policy,Generative AI Policy - Nieman Foundation - Harvard University,https://nieman.harvard.edu/about/generative-ai-policy/,harvard.edu,True,3396
166027,Harvard University,www.harvard.edu/,7,site:harvard.edu Harvard University generative AI policy,Guidance on AI meeting assistants; data privacy principles | Harvard ...,https://www.huit.harvard.edu/news/guidance-ai-meeting-assistants-data-privacy-principles,harvard.edu,True,3033
166027,Harvard University,www.harvard.edu/,8,site:harvard.edu Harvard University generative AI policy,AI Guidance & FAQs,https://oue.fas.harvard.edu/ai-guidance,harvard.edu,True,10494
166027,Harvard University,www.harvard.edu/,9,site:harvard.edu Harvard University generative AI policy,Generative AI | HMS IT - Harvard University,https://it.hms.harvard.edu/about/policies-and-guidelines/generative-ai,harvard.edu,True,4810
166027,Harvard University,www.harvard.edu/,10,site:harvard.edu Harvard University generative AI policy,Research with Generative AI,https://www.harvard.edu/ai/research-resources/,harvard.edu,True,5323
166027,Harvard University,www.harvard.edu/,11,site:harvard.edu Harvard University generative AI policy,Ideas for experimenting with Generative AI: Use cases and things to ...,https://www.huit.harvard.edu/news/ai-use-cases,harvard.edu,True,7497
166027,Harvard University,www.harvard.edu/,12,site:harvard.edu Harvard University generative AI policy,University-wide working groups,https://www.harvard.edu/ai/working-groups/,harvard.edu,True,6020
166027,Harvard University,www.harvard.edu/,13,site:harvard.edu Harvard University generative AI policy,Best Practices: Generative AI (Community Members),https://privsec.harvard.edu/best-practices-generative-ai-community-members,harvard.edu,True,5966
166027,Harvard University,www.harvard.edu/,14,site:harvard.edu Harvard University generative AI policy,Generative Artificial Intelligence (AI) | Harvard University Information ...,https://www.huit.harvard.edu/ai,harvard.edu,True,1392
166027,Harvard University,www.harvard.edu/,15,site:harvard.edu Harvard University generative AI policy,AI Meeting Assistant Guidelines,https://www.huit.harvard.edu/ai-assistant-guidelines,harvard.edu,True,8448
166027,Harvard University,www.harvard.edu/,16,site:harvard.edu Harvard University generative AI policy,Exploring generative AI at Harvard,https://news.harvard.edu/gazette/story/2024/04/exploring-potential-benefits-pitfalls-of-generative-ai/,harvard.edu,True,14170
166027,Harvard University,www.harvard.edu/,17,site:harvard.edu Harvard University generative AI policy,Policies & guidelines,https://www.huit.harvard.edu/policies-and-guidelines,harvard.edu,True,2716
166027,Harvard University,www.harvard.edu/,18,site:harvard.edu Harvard University generative AI policy,AI,https://ari.hms.harvard.edu/ai,harvard.edu,True,2198
166027,Harvard University,www.harvard.edu/,19,site:harvard.edu Harvard University generative AI policy,AI Sandbox Privacy Statement,https://www.huit.harvard.edu/privacy/ai-sandbox,harvard.edu,True,6476
166027,Harvard University,www.harvard.edu/,20,site:harvard.edu Harvard University generative AI policy,A Red Flag? China’s Generative AI Dilemma - Harvard Journal of Law & Technology,https://jolt.law.harvard.edu/digest/a-red-flag-chinas-generative-ai-dilemma,harvard.edu,True,2871
166027,Harvard University,www.harvard.edu/,21,site:harvard.edu Harvard University generative AI policy,Harvard University Information Technology,https://www.huit.harvard.edu/news-types/ai,harvard.edu,True,4092
