UNITID,university,condition,rank,query,title,url,domain
193900,NYU,max_100,1,site:nyu.edu New York University generative AI policy,AI Guidance & Governance,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/governance.html,nyu.edu
193900,NYU,max_100,2,site:nyu.edu New York University generative AI policy,Statement on Generative AI - College of Arts & Science - NYU,https://cas.nyu.edu/ewp/about/statement-on-generative-ai.html,nyu.edu
193900,NYU,max_100,3,site:nyu.edu New York University generative AI policy,Generative AI Guidelines for NYU Communicators,https://www.nyu.edu/employees/resources-and-services/media-and-communications/nyu-brand-guidelines/creating-messaging-and-visual-assets/best-practices/generative-ai-guidelines-for-nyu-communicators.html,nyu.edu
193900,NYU,max_100,4,site:nyu.edu New York University generative AI policy,Generative AI Tools for Academic Research - Generative AI Tools for Academic Research - Research Guides at New York University,https://guides.nyu.edu/ai-tools,nyu.edu
193900,NYU,max_100,5,site:nyu.edu New York University generative AI policy,Teaching with Generative AI,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools.html,nyu.edu
193900,NYU,max_100,6,site:nyu.edu New York University generative AI policy,Generative AI Updates – Live Syllabus and Faculty Development Resources – A&S Office of Teaching Excellence and Innovation,https://wp.nyu.edu/fas-edtech/2024/01/generative-ai-updates-live-syllabus-and-faculty-development-resources/,nyu.edu
193900,NYU,max_100,7,site:nyu.edu New York University generative AI policy,Research Guides: Machines and Society: Generative AI for Research and Creative Use,https://guides.nyu.edu/data/llm-research-creative-use,nyu.edu
193900,NYU,max_100,8,site:nyu.edu New York University generative AI policy,Generative AI – A&S Office of Teaching Excellence and Innovation,https://wp.nyu.edu/fas-edtech/category/generative-ai/,nyu.edu
193900,NYU,max_100,9,site:nyu.edu New York University generative AI policy,Frequently Asked Questions About Teaching and AI,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/frequently-asked-questions.html,nyu.edu
193900,NYU,max_100,10,site:nyu.edu New York University generative AI policy,Generative AI Tools for Academic Research,https://guides.nyu.edu/ai-tools/discovery,nyu.edu
193900,NYU,max_100,11,site:nyu.edu New York University generative AI policy,NYU Launches Generative AI Resources for Instructors and Researchers,https://www.nyu.edu/research/navigating-research-technology/stories/nyu-launches-resources-for-instructors-exploring-generative-ai.html,nyu.edu
193900,NYU,max_100,12,site:nyu.edu New York University generative AI policy,Steinhardt AI Hub,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub,nyu.edu
193900,NYU,max_100,13,site:nyu.edu New York University generative AI policy,NYU Generative AI (GenAI) Services,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/generative-ai-services.html,nyu.edu
193900,NYU,max_100,14,site:nyu.edu New York University generative AI policy,Machines and Society,https://guides.nyu.edu/data/ai-governance,nyu.edu
193900,NYU,max_100,15,site:nyu.edu New York University generative AI policy,University Policies and Guidelines,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines.html,nyu.edu
193900,NYU,max_100,16,site:nyu.edu New York University AI policy academic integrity,Academic Integrity and Syllabus Support in the Age of Generative AI,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/academic-integrity-and-syllabus-support-age,nyu.edu
193900,NYU,max_100,17,site:nyu.edu New York University AI policy academic integrity,Academic Integrity for Students at NYU,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/academic-integrity-for-students-at-nyu.html,nyu.edu
193900,NYU,max_100,18,site:nyu.edu New York University AI policy academic integrity,Academic Integrity,https://cas.nyu.edu/academic-integrity.html,nyu.edu
193900,NYU,max_100,19,site:nyu.edu New York University AI policy academic integrity,CDS Academic Integrity Statement and Policy - NYU Center for Data Science,https://cds.nyu.edu/academics/academic-integrity-statement-policy/,nyu.edu
193900,NYU,max_100,20,site:nyu.edu New York University AI policy academic integrity,GenAI & Academic Integrity,https://sites.google.com/stern.nyu.edu/teaching-learning-gen-ai/academic-integrity,nyu.edu
193900,NYU,max_100,21,site:nyu.edu New York University AI policy academic integrity,,https://www.nyu.edu/content/dam/nyu/provost/documents/Academic-Integrity-Policy-Memo.pdf,nyu.edu
