rank,max_100,no_max_specified
1,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/governance.html,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/governance.html
2,https://cas.nyu.edu/ewp/about/statement-on-generative-ai.html,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/generative-ai-services.html
3,https://www.nyu.edu/employees/resources-and-services/media-and-communications/nyu-brand-guidelines/creating-messaging-and-visual-assets/best-practices/generative-ai-guidelines-for-nyu-communicators.html,https://cas.nyu.edu/ewp/about/statement-on-generative-ai.html
4,https://guides.nyu.edu/ai-tools,https://www.nyu.edu/employees/resources-and-services/media-and-communications/nyu-brand-guidelines/creating-messaging-and-visual-assets/best-practices/generative-ai-guidelines-for-nyu-communicators.html
5,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools.html,https://guides.nyu.edu/ai-tools
6,https://wp.nyu.edu/fas-edtech/2024/01/generative-ai-updates-live-syllabus-and-faculty-development-resources/,https://wp.nyu.edu/fas-edtech/2024/01/generative-ai-updates-live-syllabus-and-faculty-development-resources/
7,https://guides.nyu.edu/data/llm-research-creative-use,https://guides.nyu.edu/data/llm-research-creative-use
8,https://wp.nyu.edu/fas-edtech/category/generative-ai/,https://wp.nyu.edu/fas-edtech/category/generative-ai/
9,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/frequently-asked-questions.html,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools.html
10,https://guides.nyu.edu/ai-tools/discovery,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/frequently-asked-questions.html
11,https://www.nyu.edu/research/navigating-research-technology/stories/nyu-launches-resources-for-instructors-exploring-generative-ai.html,https://guides.nyu.edu/ai-tools/discovery
12,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub,https://www.nyu.edu/research/navigating-research-technology/stories/nyu-launches-resources-for-instructors-exploring-generative-ai.html
13,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/generative-ai-services.html,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub
14,https://guides.nyu.edu/data/ai-governance,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/academic-integrity-and-syllabus-support-age
15,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines.html,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/academic-integrity-for-students-at-nyu.html
16,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/academic-integrity-and-syllabus-support-age,https://cds.nyu.edu/academics/academic-integrity-statement-policy/
17,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/academic-integrity-for-students-at-nyu.html,https://cas.nyu.edu/academic-integrity.html
18,https://cas.nyu.edu/academic-integrity.html,https://sites.google.com/stern.nyu.edu/teaching-learning-gen-ai/academic-integrity
19,https://cds.nyu.edu/academics/academic-integrity-statement-policy/,https://www.nyu.edu/content/dam/nyu/provost/documents/Academic-Integrity-Policy-Memo.pdf
20,https://sites.google.com/stern.nyu.edu/teaching-learning-gen-ai/academic-integrity,https://cas.nyu.edu/ewp/faq/statement-on-academic-integrity.html
21,https://www.nyu.edu/content/dam/nyu/provost/documents/Academic-Integrity-Policy-Memo.pdf,https://as.nyu.edu/departments/cns/UndergraduateProgram/AcademicIntegrity.html
22,https://cas.nyu.edu/ewp/faq/statement-on-academic-integrity.html,https://publichealth.nyu.edu/events-news/events/2026/02/07/who-should-decide-ais-future-public-conversation-governing-frontier
23,https://as.nyu.edu/departments/cns/UndergraduateProgram/AcademicIntegrity.html,https://www.nyu.edu/content/dam/nyu/provost/documents/Chat%2520GPT%2520email.pdf
24,https://publichealth.nyu.edu/events-news/events/2026/02/07/who-should-decide-ais-future-public-conversation-governing-frontier,https://guides.nyu.edu/c.php?g=1307730&p=9624166
25,https://cds.nyu.edu/ai-misinformation-and-policy-seminar-series/,https://guides.nyu.edu/chatgpt
26,https://tisch.nyu.edu/student-affairs/important-resources/academic-integrity-policy,https://nexus.sps.nyu.edu/post/nyu-office-of-the-provost-generative-ai-workshop-re-designing-assignments-and-re-thinking-assessm
27,https://wp.nyu.edu/compliance_enforcement/2024/12/10/ai-judgment-rules/,https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/vice-provostial-communications/NYU-wide-Workshops-on-Teaching-Learning-with-GenAI.html
28,https://www.nyu.edu/content/dam/nyu/provost/documents/Chat%20GPT%20email.pdf,https://wp.nyu.edu/fas-edtech/2024/10/still-wondering-about-generative-ai-here-are-some-nyu-resources/
29,https://journalism.nyu.edu/about-us/resources/ethics-handbook-for-students/,https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/ai-and-technology-in-education.html
30,https://www.nyu.edu/content/dam/nyu/provost/documents/Chat%2520GPT%2520email.pdf,https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/clay-shirky.html
31,https://wp.nyu.edu/compliance_enforcement/2023/02/10/does-your-company-need-a-chatgpt-policy-probably/,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/getting-started-generative-ai
32,https://guides.nyu.edu/data/chatgpt,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/resources.html
33,https://guides.nyu.edu/data/chatgpt-developer,https://stern.nyu.edu/portal-partners/faculty-staff/learning-science-lab/teaching-technologies/teaching-and-learning-generative-ai
34,https://wp.nyu.edu/compliance_enforcement/tag/chatgpt/,https://www.nyu.edu/faculty/teaching-and-learning-resources/Student-Learning-with-Generative-AI.html
35,https://nexus.sps.nyu.edu/post/nyu-office-of-the-provost-generative-ai-workshop-re-designing-assignments-and-re-thinking-assessm,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/enhancing-teaching-and-learning-generative-ai
36,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/adapting-assignments-to-generative-AI.html,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/adapting-assignments-to-generative-AI.html
37,https://wp.nyu.edu/fas-edtech/2024/10/still-wondering-about-generative-ai-here-are-some-nyu-resources/,https://guides.nyu.edu/data/ai-teaching-and-learning
38,https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/ai-and-technology-in-education.html,
39,https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/clay-shirky.html,
40,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/getting-started-generative-ai,
41,https://guides.nyu.edu/chatgpt,
42,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/enhancing-teaching-and-learning-generative-ai,
43,https://stern.nyu.edu/portal-partners/faculty-staff/learning-science-lab/teaching-technologies/teaching-and-learning-generative-ai,
44,https://www.nyu.edu/faculty/teaching-and-learning-resources/Student-Learning-with-Generative-AI.html,
